,Left,Middle,Right
0,,PSDLog 32.0 Hz Y Gyro Middle,
1,,PSDLog 4.0 Hz Y Gyro Middle,
2,,PSDLog 25.2 Hz Z Accel Middle,
3,,PSDLog 2.4 Hz Y Gyro Middle,
4,,PSDLog 32.4 Hz Y Gyro Middle,
5,,PSDLog 3.6 Hz Y Gyro Middle,
6,,PSDLog 33.2 Hz Z Accel Middle,
7,,PSDLog 4.4 Hz Y Gyro Middle,
8,,PSDLog 31.2 Hz Y Gyro Middle,
9,,PSDLog 36.0 Hz Y Gyro Middle,
10,,PSDLog 3.2 Hz Y Gyro Middle,
11,,PSDLog 28.8 Hz Z Accel Middle,
12,,PSDLog 2.8 Hz Y Gyro Middle,
13,,PSDLog 34.8 Hz Y Gyro Middle,
14,,PSDLog 1.6 Hz Y Gyro Middle,
15,,PSDLog 56.8 Hz Y Accel Middle,
16,,PSDLog 32.8 Hz Y Gyro Middle,
17,,PSDLog 16.8 Hz Y Gyro Middle,
18,,PSDLog 4.4 Hz X Accel Middle,
19,,PSDLog 34.0 Hz Z Accel Middle,
20,,PSDLog 32.4 Hz Z Accel Middle,
21,,PSDLog 12.0 Hz Y Gyro Middle,
22,,PSDLog 2.0 Hz Y Gyro Middle,
23,,PSDLog 35.6 Hz Y Gyro Middle,
24,,PSDLog 27.6 Hz Z Accel Middle,
25,,PSDLog 30.4 Hz Y Gyro Middle,
26,,PSDLog 36.0 Hz Z Accel Middle,
27,,PSDLog 4.8 Hz Y Gyro Middle,
28,,PSDLog 26.0 Hz Z Accel Middle,
29,,PSDLog 32.0 Hz Z Accel Middle,
30,,PSDLog 8.4 Hz Y Gyro Middle,
31,,PSDLog 2.0 Hz X Gyro Middle,
32,,PSDLog 34.4 Hz Z Accel Middle,
33,,PSDLog 57.6 Hz Y Accel Middle,
34,,PSDLog 12.8 Hz Y Accel Middle,
35,,PSDLog 1.2 Hz Y Gyro Middle,
36,,PSDLog 43.2 Hz Y Accel Middle,
37,,PSDLog 30.8 Hz Z Accel Middle,
38,,PSDLog 11.6 Hz Y Gyro Middle,
39,,PSDLog 26.8 Hz Y Gyro Middle,
40,,PSDLog 4.4 Hz Z Accel Middle,
41,,PSDLog 34.8 Hz Z Accel Middle,
42,,PSDLog 31.2 Hz Z Accel Middle,
43,,PSDLog 3.6 Hz X Accel Middle,
44,,PSDLog 35.2 Hz Z Accel Middle,
45,,PSDLog 55.2 Hz Y Accel Middle,
46,,PSDLog 36.4 Hz Z Accel Middle,
47,,PSDLog 27.6 Hz Y Gyro Middle,
48,,PSDLog 2.8 Hz X Accel Middle,
49,,PSDLog 28.4 Hz Z Accel Middle,
50,,PSDLog 34.4 Hz Y Gyro Middle,
51,,PSDLog 12.8 Hz Y Gyro Middle,
52,,PSDLog 24.8 Hz Z Accel Middle,
53,,PSDLog 5.2 Hz Y Gyro Middle,
54,,PSDLog 32.8 Hz Z Accel Middle,
55,,PSDLog 1.6 Hz X Gyro Middle,
56,,PSDLog 26.0 Hz Y Gyro Middle,
57,,PSDLog 56.4 Hz Y Accel Middle,
58,,PSDLog 33.2 Hz Y Gyro Middle,
59,,PSDLog 10.8 Hz Y Gyro Middle,
60,,PSDLog 27.2 Hz Z Accel Middle,
61,,PSDLog 4.8 Hz X Accel Middle,
62,,PSDLog 24.4 Hz Z Accel Middle,
63,,PSDLog 15.2 Hz Y Gyro Middle,
64,,PSDLog 30.4 Hz Z Accel Middle,
65,,PSDLog 24.0 Hz Y Accel Middle,
66,,PSDLog 4.0 Hz X Accel Middle,
67,,PSDLog 26.8 Hz Z Accel Middle,
68,,PSDLog 24.4 Hz Y Accel Middle,
69,,PSDLog 54.0 Hz Y Accel Middle,
70,,PSDLog 29.6 Hz Z Accel Middle,
71,,PSDLog 11.2 Hz Y Gyro Middle,
72,,PSDLog 36.8 Hz Y Gyro Middle,
73,,PSDLog 34.0 Hz Y Gyro Middle,
74,,PSDLog 12.4 Hz Z Accel Middle,
75,,PSDLog 33.6 Hz Y Gyro Middle,
76,,PSDLog 6.8 Hz Y Gyro Middle,
77,,PSDLog 35.6 Hz Z Accel Middle,
78,,PSDLog 23.2 Hz Y Accel Middle,
79,,PSDLog 30.8 Hz Y Gyro Middle,
80,,PSDLog 3.2 Hz X Accel Middle,
81,,PSDLog 28.0 Hz Z Accel Middle,
82,,PSDLog 55.6 Hz Y Accel Middle,
83,,PSDLog 14.4 Hz Y Gyro Middle,
84,,PSDLog 22.4 Hz Y Accel Middle,
85,,PSDLog 12.4 Hz Y Accel Middle,
86,,PSDLog 24.0 Hz Z Accel Middle,
87,,PSDLog 21.6 Hz Y Accel Middle,
88,,PSDLog 40.0 Hz Y Accel Middle,
89,,PSDLog 12.0 Hz Y Accel Middle,
90,,PSDLog 31.6 Hz Z Accel Middle,
91,,PSDLog 20.4 Hz Y Gyro Middle,
92,,PSDLog 30.0 Hz Z Accel Middle,
93,,PSDLog 26.0 Hz Y Accel Middle,
94,,PSDLog 8.0 Hz Y Gyro Middle,
95,,PSDLog 56.0 Hz Y Accel Middle,
96,,PSDLog 0.0 Hz Y Gyro Middle,
97,,PSDLog 23.6 Hz Y Accel Middle,
98,,PSDLog 36.8 Hz Z Accel Middle,
99,,PSDLog 12.4 Hz Y Gyro Middle,
100,,PSDLog 58.0 Hz Y Accel Middle,
101,,PSDLog 2.4 Hz Z Accel Middle,
102,,PSDLog 18.0 Hz Y Gyro Middle,
103,,PSDLog 31.6 Hz Y Gyro Middle,
104,,PSDLog 7.6 Hz Y Gyro Middle,
105,,PSDLog 36.4 Hz Y Gyro Middle,
106,,PSDLog 13.2 Hz Z Accel Middle,
107,,PSDLog 13.6 Hz Y Accel Middle,
108,,PSDLog 28.8 Hz Y Gyro Middle,
109,,PSDLog 2.4 Hz X Gyro Middle,
110,,PSDLog 27.2 Hz Y Gyro Middle,
111,,PSDLog 20.4 Hz Z Accel Middle,
112,,PSDLog 37.2 Hz Z Accel Middle,
113,,PSDLog 0.8 Hz Y Gyro Middle,
114,,PSDLog 24.8 Hz Y Accel Middle,
115,,PSDLog 13.2 Hz Y Gyro Middle,
116,,PSDLog 42.0 Hz Y Accel Middle,
117,,PSDLog 11.2 Hz Z Accel Middle,
118,,PSDLog 28.0 Hz Y Gyro Middle,
119,,PSDLog 2.0 Hz Z Accel Middle,
120,,PSDLog 25.6 Hz Z Accel Middle,
121,,PSDLog 22.0 Hz Y Accel Middle,
122,,PSDLog 6.4 Hz Y Accel Middle,
123,,PSDLog 23.6 Hz Z Accel Middle,
124,,PSDLog 37.6 Hz Z Accel Middle,
125,,PSDLog 16.4 Hz Y Gyro Middle,
126,,PSDLog 13.6 Hz Y Gyro Middle,
127,,PSDLog 35.2 Hz Y Gyro Middle,
128,,PSDLog 4.8 Hz Z Accel Middle,
129,,PSDLog 32.4 Hz Y Accel Middle,
130,,PSDLog 14.8 Hz Y Gyro Middle,
131,,PSDLog 13.2 Hz Y Accel Middle,
132,,PSDLog 18.0 Hz Z Accel Middle,
133,,PSDLog 14.4 Hz Z Accel Middle,
134,,PSDLog 33.6 Hz Z Accel Middle,
135,,PSDLog 28.4 Hz Y Gyro Middle,
136,,PSDLog 52.0 Hz Y Accel Middle,
137,,PSDLog 18.8 Hz Y Gyro Middle,
138,,PSDLog 1.2 Hz X Gyro Middle,
139,,PSDLog 54.8 Hz Y Accel Middle,
140,,PSDLog 41.2 Hz Y Accel Middle,
141,,PSDLog 15.2 Hz Z Accel Middle,
142,,PSDLog 16.8 Hz Z Accel Middle,
143,,PSDLog 37.6 Hz Y Gyro Middle,
144,,PSDLog 12.0 Hz Z Accel Middle,
145,,PSDLog 24.8 Hz Y Gyro Middle,
146,,PSDLog 39.6 Hz Y Accel Middle,
147,,PSDLog 29.2 Hz Z Accel Middle,
148,,PSDLog 17.2 Hz Y Gyro Middle,
149,,PSDLog 5.2 Hz Z Accel Middle,
150,,PSDLog 39.2 Hz Y Accel Middle,
151,,PSDLog 26.4 Hz Z Accel Middle,
152,,PSDLog 8.8 Hz Y Gyro Middle,
153,,PSDLog 16.0 Hz Y Gyro Middle,
154,,PSDLog 43.2 Hz Z Accel Middle,
155,,PSDLog 24.4 Hz Y Gyro Middle,
156,,PSDLog 24.0 Hz Y Gyro Middle,
157,,PSDLog 38.8 Hz Y Accel Middle,
158,,PSDLog 13.6 Hz Z Accel Middle,
159,,PSDLog 36.0 Hz Y Accel Middle,
160,,PSDLog 57.2 Hz Y Accel Middle,
161,,PSDLog 30.0 Hz Y Gyro Middle,
162,,PSDLog 5.2 Hz X Accel Middle,
163,,PSDLog 17.6 Hz Y Gyro Middle,
164,,PSDLog 9.6 Hz Y Gyro Middle,
165,,PSDLog 26.4 Hz Y Accel Middle,
166,,PSDLog 27.2 Hz Y Accel Middle,
167,,PSDLog 12.8 Hz Z Accel Middle,
168,,PSDLog 32.4 Hz X Accel Middle,
169,,PSDLog 42.4 Hz Y Accel Middle,
170,,PSDLog 2.0 Hz X Accel Middle,
171,,PSDLog 53.6 Hz Y Accel Middle,
172,,PSDLog 15.6 Hz Y Gyro Middle,
173,,PSDLog 26.4 Hz Y Gyro Middle,
174,,PSDLog 36.4 Hz Y Accel Middle,
175,,PSDLog 7.2 Hz Y Gyro Middle,
176,,PSDLog 29.6 Hz Y Gyro Middle,
177,,PSDLog 3.6 Hz Z Accel Middle,
178,,PSDLog 25.2 Hz Y Gyro Middle,
179,,PSDLog 26.8 Hz Y Accel Middle,
180,,PSDLog 31.6 Hz X Accel Middle,
181,,PSDLog 54.4 Hz Y Accel Middle,
182,,PSDLog 2.4 Hz X Accel Middle,
183,,PSDLog 23.6 Hz Y Gyro Middle,
184,,PSDLog 11.6 Hz Z Accel Middle,
185,,PSDLog 28.4 Hz Y Accel Middle,
186,,PSDLog 22.4 Hz Z Accel Middle,
187,,PSDLog 0.4 Hz Y Gyro Middle,
188,,PSDLog 25.6 Hz Y Accel Middle,
189,,PSDLog 20.8 Hz Y Gyro Middle,
190,,PSDLog 32.8 Hz X Accel Middle,
191,,PSDLog 53.2 Hz Y Accel Middle,
192,,PSDLog 25.6 Hz Y Gyro Middle,
193,,PSDLog 22.8 Hz Z Accel Middle,
194,,PSDLog 42.0 Hz Z Accel Middle,
195,,PSDLog 21.6 Hz Z Accel Middle,
196,,PSDLog 41.2 Hz Y Gyro Middle,
197,,PSDLog 4.0 Hz Z Accel Middle,
198,,PSDLog 21.2 Hz Y Accel Middle,
199,,PSDLog 28.4 Hz X Accel Middle,
200,,PSDLog 5.6 Hz Y Accel Middle,
201,,PSDLog 21.2 Hz Z Accel Middle,
202,,PSDLog 42.8 Hz Y Accel Middle,
203,,PSDLog 17.6 Hz Z Accel Middle,
204,,PSDLog 36.8 Hz Y Accel Middle,
205,,PSDLog 58.4 Hz Y Accel Middle,
206,,PSDLog 22.8 Hz Y Accel Middle,
207,,PSDLog 14.0 Hz Y Gyro Middle,
208,,PSDLog 37.2 Hz Y Accel Middle,
209,,PSDLog 32.0 Hz X Accel Middle,
210,,PSDLog 29.6 Hz X Accel Middle,
211,,PSDLog 38.0 Hz Z Accel Middle,
212,,PSDLog 17.2 Hz Z Accel Middle,
213,,PSDLog 38.4 Hz Y Accel Middle,
214,,PSDLog 15.6 Hz Z Accel Middle,
215,,PSDLog 40.4 Hz Y Accel Middle,
216,,PSDLog 6.0 Hz Y Gyro Middle,
217,,PSDLog 30.4 Hz X Accel Middle,
218,,PSDLog 0.8 Hz X Gyro Middle,
219,,PSDLog 41.2 Hz Z Accel Middle,
220,,PSDLog 18.8 Hz Z Accel Middle,
221,,PSDLog 29.2 Hz Y Gyro Middle,
222,,PSDLog 10.8 Hz Y Accel Middle,
223,,PSDLog 46.0 Hz Y Accel Middle,
224,,PSDLog 10.4 Hz Y Gyro Middle,
225,,PSDLog 30.8 Hz X Accel Middle,
226,,PSDLog 43.6 Hz Y Accel Middle,
227,,PSDLog 14.0 Hz Y Accel Middle,
228,,PSDLog 25.2 Hz Y Accel Middle,
229,,PSDLog 9.2 Hz Y Gyro Middle,
230,,PSDLog 42.4 Hz Z Accel Middle,
231,,PSDLog 6.8 Hz Y Accel Middle,
232,,PSDLog 50.8 Hz Y Accel Middle,
233,,PSDLog 15.2 Hz Y Accel Middle,
234,,PSDLog 44.0 Hz Y Accel Middle,
235,,PSDLog 38.0 Hz Y Gyro Middle,
236,,PSDLog 10.0 Hz Y Gyro Middle,
237,,PSDLog 27.6 Hz X Accel Middle,
238,,PSDLog 37.2 Hz Y Gyro Middle,
239,,PSDLog 52.8 Hz Y Accel Middle,
240,,Label,
